Vehicle,Blank1,All_MPG,Blank2,Combined_MPG,MPG_Type,City_MPG,HWY_MPG,Blank3,Text1,Text_city,Text_hwy,Fuel_Rate,Text2,Blank4,Annual_Fuel_Cost,MSRP,Car_Spec1,Car_Spec2,Total_Range
"2022 Ford Bronco Sasquatch 4WD 2.3 L, 4 cyl, Automatic (S10), Turbo, Regular Gasoline",,18MPG1817combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,18,17,,combined city/hwy,city,hwy,5.6 gal/100 mi,18.9,,"$2,950", ,16.5 barrels/yr,494 grams/mile, 304 - 374 milesTotal Range
"2022 Toyota Tacoma 4WD 3.5 L, 6 cyl, Manual 6-spd, Regular Gasoline",,18MPG1721combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,21,,combined city/hwy,city,hwy,5.6 gal/100 mi,NA,,"$2,950","$30,225 – $43,480",16.5 barrels/yr,481 grams/mile, 380 milesTotal Range
"2022 Chevrolet Silverado 4WD 2.7 L, 4 cyl, Automatic 8-spd, Turbo, Regular Gasoline",,18MPG1720combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,20,,combined city/hwy,city,hwy,5.6 gal/100 mi,NA,,"$2,950","$38,400 – $62,800",16.5 barrels/yr,486 grams/mile, 432 milesTotal Range
"2022 Chevrolet Silverado 4WD 2.7 L, 4 cyl, Automatic 8-spd, Turbo, Regular Gasoline",,18MPG1720combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,20,,combined city/hwy,city,hwy,5.6 gal/100 mi,NA,,"$2,950","$38,400 – $62,800",16.5 barrels/yr,489 grams/mile, 432 milesTotal Range
"2022 GMC Sierra 4WD 2.7 L, 4 cyl, Automatic 8-spd, Turbo, Regular Gasoline",,18MPG1720combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,20,,combined city/hwy,city,hwy,5.6 gal/100 mi,NA,,"$2,950","$40,000 – $81,900",16.5 barrels/yr,492 grams/mile, 432 milesTotal Range
"2022 GMC Sierra 4WD 2.7 L, 4 cyl, Automatic 8-spd, Turbo, Regular Gasoline",,18MPG1720combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,20,,combined city/hwy,city,hwy,5.6 gal/100 mi,NA,,"$2,950","$40,000 – $81,900",16.5 barrels/yr,489 grams/mile, 432 milesTotal Range
"2022 Land Rover Defender 110 2.0 L, 4 cyl, Automatic (S8), Turbo, Premium Gasoline",,18MPG1720combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,20,,combined city/hwy,city,hwy,5.6 gal/100 mi,NA,,"$3,650","$50,500 – $112,200",16.5 barrels/yr,492 grams/mile, 428 milesTotal Range
"2022 Toyota Tacoma 4WD D-CAB MT TRD-ORP/PRO 3.5 L, 6 cyl, Manual 6-spd, Regular Gasoline",,18MPG1720combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,20,,combined city/hwy,city,hwy,5.6 gal/100 mi,NA,,"$2,950","$35,315 – $49,290",16.5 barrels/yr,483 grams/mile, 380 milesTotal Range
"2022 Ford Bronco Black Diamond 4WD 2.3 L, 4 cyl, Manual 7-spd, Turbo, Regular Gasoline",,18MPG1719combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,19,,combined city/hwy,city,hwy,5.6 gal/100 mi,NA,,"$2,950","$37,950 – $40,840",16.5 barrels/yr,494 grams/mile, 304 - 374 milesTotal Range
"2022 Ford Bronco Sasquatch 4WD 2.3 L, 4 cyl, Manual 7-spd, Turbo, Regular Gasoline",,18MPG1718combined city/hwycityhwy5.6 gal/100 mi,,18,MPG,17,18,,combined city/hwy,city,hwy,5.6 gal/100 mi,19.2,,"$2,950", ,16.5 barrels/yr,494 grams/mile, 304 - 374 milesTotal Range
